PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C8	1115231796	9.2018	10.2019	10.2019	351	356	8	7000	BT41	SP212
67	C51	1115320490	10.2018	11.2019	11.2019	351	351	24	10000	BT9	SP28
67	C51	1115389484	11.2018	12.2019	12.2019	351	351	24	22500	BT9	SP28
67	C51	1115526270	2.2019	2.2020	2.2020	351	358	39	2000	BT156	SP2
67	C51	1115526270	2.2019	2.2020	2.2020	351	358	39	6000	BT156	SP2
67	C27	1115567660	2.2019	3.2020	3.2020	351	353	4	3000	BT52	SP206
67	C51	1112273034	1.2017	2.2018	3.2018	351	374	12	1000	BT6	SP14
67	C51	1112273038	1.2017	2.2018	3.2018	351	374	12	1000	BT6	SP14
67	C83	1113058040	6.2017	7.2018	7.2018	351	353	20	1000	BT164	SP9
67	C167	1113524479	9.2017	10.2018	10.2018	351	351	20	15000	BT57	SP259
67	C51	1113739241	11.2017	11.2018	11.2018	351	351	14	12000	BT156	SP2
67	C51	1113739241	11.2017	11.2018	11.2018	351	351	14	5000	BT156	SP2
67	C51	1113739241	11.2017	11.2018	11.2018	351	351	14	27000	BT156	SP2
67	C51	1113739241	11.2017	11.2018	11.2018	351	351	14	6000	BT156	SP2
67	C51	1113739241	11.2017	11.2018	11.2018	351	351	14	18000	BT156	SP2
67	C35	1113781800	11.2017	11.2018	11.2018	351	351	98	4000	BT229	SP227
67	C22	1113820275	11.2017	12.2018	12.2018	351	351	12	2500	BT9	SP33
67	C22	1113820275	11.2017	12.2018	12.2018	351	351	12	2500	BT9	SP33
67	C22	1113820275	11.2017	12.2018	12.2018	351	351	12	5000	BT9	SP33
67	C51	1114388435	3.2018	3.2019	3.2019	351	351	16	7000	BT158	SP4
67	C8	1114637312	5.2018	5.2019	5.2019	351	351	26	15000	BT94	SP301
67	C96	1115060509	7.2018	8.2019	8.2019	351	351	39	1000	BT14	SP574
67	C96	1115060512	7.2018	8.2019	8.2019	351	351	39	1500	BT148	SP173
67	C96	1115060512	7.2018	8.2019	8.2019	351	351	39	5000	BT148	SP173
67	C96	1115060512	7.2018	8.2019	8.2019	351	351	39	3500	BT148	SP173
67	C96	1115062097	7.2018	8.2019	8.2019	351	351	39	4000	BT8	SP16
67	C51	1115107020	8.2018	8.2019	8.2019	351	351	16	2000	BT156	SP2
67	C18	1115107288	8.2018	8.2019	8.2019	351	351	18	2500	BT96	SP512
67	C8	1115173153	9.2018	9.2019	9.2019	351	351	99	2000	BT8	SP16
67	C113	1115456088	1.2019	1.2020	1.2020	351	351	24	10000	BT11	SP29
67	C107	1115522059	2.2019	2.2020	2.2020	351	351	12	3000	BT7	SP12
67	C51	1113209685	7.2017	8.2018	8.2018	351	351	4	2000	BT157	SP10
67	C158	1113290439	8.2017	8.2018	8.2018	351	351	14	40000	BT107	SP295
67	C158	1113290446	8.2017	8.2018	8.2018	351	353	14	12500	BT137	SP304
67	C8	1114135112	1.2018	2.2019	2.2019	351	351	39	10500	BT41	SP150
67	C43	1114218013	2.2018	2.2019	2.2019	351	351	9	2500	BT131	SP323
67	C43	1114218013	2.2018	2.2019	2.2019	351	351	9	2500	BT131	SP323
67	C51	1114539175	4.2018	4.2019	4.2019	351	351	20	10000	BT158	SP4
67	C51	1114975432	7.2018	7.2019	7.2019	351	351	18	9000	BT185	SP164
67	C118	1114986685	7.2018	7.2019	7.2019	351	352	22	1000	BT175	SP36
67	C118	1114986685	7.2018	7.2019	7.2019	351	352	22	1000	BT175	SP36
67	C125	1114994706	7.2018	7.2019	7.2019	351	351	22	2500	BT173	SP34
67	C107	1114999186	7.2018	7.2019	7.2019	351	351	99	2500	BT82	SP406
